Sire ID;Sire Name;Start Count;1st Place;2nd Place;3rd Place;Value;Height;Colour;;
S1;Bold Ruler;33;23;4;2;764,204;167;Brown;;
S2;Forli;10;9;1;0;156,410;165;Chestnut;;
S3;Round Table;66;43;8;5;1,749,869;-;Bay;;
S4;Northern Dancer;18;14;2;2;580,806;156;Bay;;
S5;Damascus;32;21;7;3;1,176,781;163;Bay;;
S6;In Reality;27;14;9;2;795,824;158;Bay;;
S7;Hoist The Flag;6;5;0;0;78,145;165;Bay;;
S8;Sir Ivor;13;8;3;1;561,323;165;Bay;;
S9;Mr. Prospector;14;7;4;2;112,171;165;Bay;;
S10;Nantallah;7;4;1;1;17,825;-;Bay;;
S11;Ribot;16;16;0;0;294,414;164;Bay;;
S12;T.V. Lark;72;19;13;6;902,194;170;Bay;;
S13;Northern Dancer;18;14;2;2;580,806;156;Bay;;
S14;Noholme;41;12;9;2;40,194;160;Chestnut;;
S15;Grey Dawn II;22;8;4;1;201,620;170;Grey;;
S16;Jean-Pierre;46;11;9;10;308,589;-;Chestnut;;
S17;Hawaii;28;21;2;3;328,983;166;Bay;;
S18;Quadratic;0;0;0;0;0,000;161;Bay;;
S19;Smarten;27;11;8;2;716,426;161;Brown;;
S20;Never Bend;23;13;4;4;641,524;166;Brown;;
S21;Assagai;30;11;7;2;344,921;165;Brown;;
S22;Tropical Breeze;98;13;18;15;121,780;163;Bay;;
S23;Cougar;50;20;7;17;1,169,058;163;Bay;;
S24;Correspondent;61;11;8;4;207,292;-;Bay;;
S25;Double Jay;0;0;0;0;0,000;-;Dark Brown;;
S26;Turn-To;8;6;1;1;280,032;-;Bay;;
S27;First Landing;37;19;9;2;779,577;-;Bay;;
S28;Tatan;14;12;1;0;217,500;-;Chestnut;;
S29;Tillman;7;1;0;1;3,040;-;Grey;;
S30;Nasram II;16;3;0;0;135,665;-;Bay;;
S31;Hail To Reason;18;9;2;2;328,434;-;Brown;;
S32;Nijinsky;0;0;0;0;-;166;Bay;;
S33;Honest Pleasure;25;12;6;2;839,997;163;Dark Bay;;
S34;Hangover;100;22;12;9;89,940;-;Bay;;
S35;Nearctic;47;21;5;3;152,384;-;Chestnut;;
S36;Bold Lad;19;14;2;1;516,465;;;;
S37;Reviewer;13;9;3;1;247,223;168;Bay;;
S38;Buckpasser;31;25;4;1;1,452,014;170;Bay;;
S39;What A Pleasure;18;6;5;2;164,935;166;Chestnut;;
S40;Fleet Nasrullah;29;11;7;0;223,150;165;Bay;;
S41;Bryan G;62;14;18;4;165,625;-;Chestnut;;
S42;Nashua;0;0;0;0;0,000;166;Bay;;
S43;Best Turn;28;15;5;2;270,339;178;bay;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
