Dam ID;Dam Name;Start Count;1st Place;2nd Place;3rd Place;Value;;;;
D1;Thong;22;5;4;5;50,036;;;;
D2;Be Ambitious;22;3;5;3;12,650;;;;
D3;Lady Dulcinea;26;4;4;5;45,420;;;;
D4;Triple Orbit;3;1;0;0;891,000;;;;
D5;Perverse;21;4;2;1;11,640;;;;
D6;Somethingroyal;1;0;0;0;-;;;;
D7;Iskra;19;2;2;3;7,843;;;;
D8;Fool-Me-Not;17;2;2;1;3,545;;;;
D9;Shenanigans;22;3;1;6;18,120;;;;
D10;Retsina Star;4;1;0;0;6,925;;;;
D11;Royal Entranc;31;7;6;5;55,610;;;;
D12;Regal Rumor;36;17;8;5;266,321;;;;
D13;Princess Pout;31;13;2;5;260,265;;;;
D14;Bold Heiress;15;4;4;3;23,607;;;;
D15;Society Column;36;7;7;2;88,260;;;;
D16;Bayou  ;32;7;8;4;143,759;;;;
D17;High Bid;30;9;0;0;151,122;;;;
D18;Misty Morn;42;11;6;7;212,575;;;;
D19;Levelix;10;4;1;2;29,901;;;;
D20;Salt Lake;17;2;2;6;29,617;;;;
D21;Gaylord's Touch;22;5;3;2;33,631;;;;
D22;Bantu;3;0;0;0;3,154;;;;
D23;Quick Wit ;56;7;4;9;25,768;;;;
D24;Alpine Peak;31;4;3;5;22,465;;;;
D25;Who's To Know;6;5;0;1;13,646;;;;
D26;Wind Song;3;0;0;0;1,532;;;;
D27;Ganancia;7;2;0;1;11,384;;;;
D28;Peacfully;12;4;2;2;44,895;;;;
D29;In Full Bloom;0;0;0;0;2,340;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
