,dad_first_place,dad_second_place,dad_third_place,dad_num_of_starts,dad_value_numeric
0,23.0,4.0,2.0,33.0,764204.0
1,9.0,1.0,0.0,10.0,156410.0
2,43.0,8.0,5.0,66.0,1749869.0
3,14.0,2.0,2.0,18.0,580806.0
4,21.0,7.0,3.0,32.0,1176781.0
5,14.0,9.0,2.0,27.0,795824.0
6,5.0,0.0,0.0,6.0,78145.0
7,8.0,3.0,1.0,13.0,561323.0
8,7.0,4.0,2.0,14.0,112171.0
9,4.0,1.0,1.0,7.0,17825.0
10,16.0,0.0,0.0,16.0,294414.0
11,19.0,13.0,6.0,72.0,902194.0
12,14.0,2.0,2.0,18.0,580806.0
13,12.0,9.0,2.0,41.0,40194.0
14,8.0,4.0,1.0,22.0,201620.0
15,11.0,9.0,10.0,46.0,308589.0
16,21.0,2.0,3.0,28.0,328983.0
17,0.0,0.0,0.0,0.0,0.0
18,11.0,8.0,2.0,27.0,716426.0
19,13.0,4.0,4.0,23.0,641524.0
20,11.0,7.0,2.0,30.0,344921.0
21,13.0,18.0,15.0,98.0,121780.0
22,20.0,7.0,17.0,50.0,1169058.0
23,11.0,8.0,4.0,61.0,207292.0
24,0.0,0.0,0.0,0.0,0.0
25,6.0,1.0,1.0,8.0,280032.0
26,19.0,9.0,2.0,37.0,779577.0
27,12.0,1.0,0.0,14.0,217500.0
28,1.0,0.0,1.0,7.0,3040.0
29,3.0,0.0,0.0,16.0,135665.0
30,9.0,2.0,2.0,18.0,328434.0
32,12.0,6.0,2.0,25.0,839997.0
33,22.0,12.0,9.0,100.0,89940.0
34,21.0,5.0,3.0,47.0,152384.0
35,14.0,2.0,1.0,19.0,516465.0
36,9.0,3.0,1.0,13.0,247223.0
37,25.0,4.0,1.0,31.0,1452014.0
38,6.0,5.0,2.0,18.0,164935.0
39,11.0,7.0,0.0,29.0,223150.0
40,14.0,18.0,4.0,62.0,165625.0
41,0.0,0.0,0.0,0.0,0.0
42,15.0,5.0,2.0,28.0,270339.0
