,kid_id,mum_id,dad_id,value_numeric,first_place,dad_value_numeric,dad_first_place,dad_second_place,dad_third_place,dad_num_of_starts
0,1,D1,S2,132570.0,8,156410.0,9.0,1.0,0.0,10.0
2,3,D1,S3,631605.0,11,1749869.0,43.0,8.0,5.0,66.0
3,4,D1,S4,8963.0,1,580806.0,14.0,2.0,2.0,18.0
4,5,D1,S4,4799.0,1,580806.0,14.0,2.0,2.0,18.0
7,58,D9,S5,209211.0,14,1176781.0,21.0,7.0,3.0,32.0
8,7,D1,S6,2332.0,0,795824.0,14.0,9.0,2.0,27.0
9,8,D1,S7,3538.0,1,78145.0,5.0,0.0,0.0,6.0
10,68,D12,S7,106087.0,7,78145.0,5.0,0.0,0.0,6.0
11,69,D13,S7,636775.0,9,78145.0,5.0,0.0,0.0,6.0
12,70,D14,S7,132910.0,4,78145.0,5.0,0.0,0.0,6.0
13,71,D15,S7,105932.0,3,78145.0,5.0,0.0,0.0,6.0
15,10,D1,S9,33370.0,2,112171.0,7.0,4.0,2.0,14.0
16,11,D1,S9,65747.0,2,112171.0,7.0,4.0,2.0,14.0
17,12,D2,S1,44277.0,6,764204.0,23.0,4.0,2.0,33.0
20,43,D6,S1,1316808.0,16,764204.0,23.0,4.0,2.0,33.0
21,48,D7,S1,537837.0,9,764204.0,23.0,4.0,2.0,33.0
23,72,D16,S1,198984.0,12,764204.0,23.0,4.0,2.0,33.0
24,73,D17,S1,478021.0,13,764204.0,23.0,4.0,2.0,33.0
25,74,D18,S1,516465.0,14,764204.0,23.0,4.0,2.0,33.0
26,75,D19,S1,156098.0,12,764204.0,23.0,4.0,2.0,33.0
27,76,D20,S1,6321.0,1,764204.0,23.0,4.0,2.0,33.0
31,18,D2,S14,62372.0,5,40194.0,12.0,9.0,2.0,41.0
32,19,D3,S15,186740.0,6,201620.0,8.0,4.0,1.0,22.0
42,25,D4,S20,366760.0,10,641524.0,13.0,4.0,4.0,23.0
44,26,D4,S40,2220.0,1,223150.0,11.0,7.0,0.0,29.0
45,28,D5,S21,136326.0,7,344921.0,11.0,7.0,2.0,30.0
51,33,D6,S26,237404.0,10,280032.0,6.0,1.0,1.0,8.0
53,84,D28,S26,1340107.0,7,280032.0,6.0,1.0,1.0,8.0
54,35,D6,S25,44065.0,5,0.0,0.0,0.0,0.0,0.0
55,83,D27,S25,570750.0,6,0.0,0.0,0.0,0.0,0.0
56,36,D6,S27,188040.0,7,779577.0,19.0,9.0,2.0,37.0
58,44,D6,S27,30184.0,3,779577.0,19.0,9.0,2.0,37.0
60,40,D6,S28,6053.0,1,217500.0,12.0,1.0,0.0,14.0
61,45,D7,S30,201404.0,7,135665.0,3.0,0.0,0.0,16.0
67,52,D8,S39,1216705.0,16,164935.0,6.0,5.0,2.0,18.0
68,53,D9,S35,256468.0,13,152384.0,21.0,5.0,3.0,47.0
69,55,D9,S36,13000.0,2,516465.0,14.0,2.0,1.0,19.0
71,57,D9,S38,230513.0,9,1452014.0,25.0,4.0,1.0,31.0
75,65,D11,S43,33375.0,2,270339.0,15.0,5.0,2.0,28.0
77,67,D11,S43,72154.0,6,270339.0,15.0,5.0,2.0,28.0
