,kid_id,mum_id,dad_id,value_numeric,sex,dad_value_numeric,dad_first_place,dad_second_place,dad_third_place,dad_num_of_starts,mum_value_numeric,mum_first_place,mum_second_place,mum_third_place,mum_num_of_starts
0,1,D1,S2,132570.0,S,156410.0,9.0,1.0,0.0,10.0,50036.0,5.0,4.0,5.0,22.0
1,2,D1,S2,30739.0,F,156410.0,9.0,1.0,0.0,10.0,50036.0,5.0,4.0,5.0,22.0
2,3,D1,S3,631605.0,S,1749869.0,43.0,8.0,5.0,66.0,50036.0,5.0,4.0,5.0,22.0
3,4,D1,S4,8963.0,M,580806.0,14.0,2.0,2.0,18.0,50036.0,5.0,4.0,5.0,22.0
4,5,D1,S4,4799.0,S,580806.0,14.0,2.0,2.0,18.0,50036.0,5.0,4.0,5.0,22.0
5,17,D2,S4,9065.0,F,580806.0,14.0,2.0,2.0,18.0,12650.0,3.0,5.0,3.0,22.0
6,6,D1,S5,63228.0,F,1176781.0,21.0,7.0,3.0,32.0,50036.0,5.0,4.0,5.0,22.0
7,58,D9,S5,209211.0,M,1176781.0,21.0,7.0,3.0,32.0,18120.0,3.0,1.0,6.0,22.0
8,7,D1,S6,2332.0,M,795824.0,14.0,9.0,2.0,27.0,50036.0,5.0,4.0,5.0,22.0
9,8,D1,S7,3538.0,S,78145.0,5.0,0.0,0.0,6.0,50036.0,5.0,4.0,5.0,22.0
10,68,D12,S7,106087.0,S,78145.0,5.0,0.0,0.0,6.0,266321.0,17.0,8.0,5.0,36.0
11,69,D13,S7,636775.0,S,78145.0,5.0,0.0,0.0,6.0,260265.0,13.0,2.0,5.0,31.0
12,70,D14,S7,132910.0,S,78145.0,5.0,0.0,0.0,6.0,23607.0,4.0,4.0,3.0,15.0
13,71,D15,S7,105932.0,S,78145.0,5.0,0.0,0.0,6.0,88260.0,7.0,7.0,2.0,36.0
14,9,D1,S8,11055.0,F,561323.0,8.0,3.0,1.0,13.0,50036.0,5.0,4.0,5.0,22.0
15,10,D1,S9,33370.0,S,112171.0,7.0,4.0,2.0,14.0,50036.0,5.0,4.0,5.0,22.0
16,11,D1,S9,65747.0,S,112171.0,7.0,4.0,2.0,14.0,50036.0,5.0,4.0,5.0,22.0
17,12,D2,S1,44277.0,S,764204.0,23.0,4.0,2.0,33.0,12650.0,3.0,5.0,3.0,22.0
18,14,D2,S1,23607.0,F,764204.0,23.0,4.0,2.0,33.0,12650.0,3.0,5.0,3.0,22.0
19,39,D6,S1,178245.0,F,764204.0,23.0,4.0,2.0,33.0,,0.0,0.0,0.0,1.0
20,43,D6,S1,1316808.0,S,764204.0,23.0,4.0,2.0,33.0,,0.0,0.0,0.0,1.0
21,48,D7,S1,537837.0,S,764204.0,23.0,4.0,2.0,33.0,7843.0,2.0,2.0,3.0,19.0
22,54,D9,S1,19020.0,F,764204.0,23.0,4.0,2.0,33.0,18120.0,3.0,1.0,6.0,22.0
23,72,D16,S1,198984.0,S,764204.0,23.0,4.0,2.0,33.0,143759.0,7.0,8.0,4.0,32.0
24,73,D17,S1,478021.0,S,764204.0,23.0,4.0,2.0,33.0,151122.0,9.0,0.0,0.0,30.0
25,74,D18,S1,516465.0,S,764204.0,23.0,4.0,2.0,33.0,212575.0,11.0,6.0,7.0,42.0
26,75,D19,S1,156098.0,S,764204.0,23.0,4.0,2.0,33.0,29901.0,4.0,1.0,2.0,10.0
27,76,D20,S1,6321.0,S,764204.0,23.0,4.0,2.0,33.0,29617.0,2.0,2.0,6.0,17.0
28,13,D2,S10,19375.0,F,17825.0,4.0,1.0,1.0,7.0,12650.0,3.0,5.0,3.0,22.0
29,15,D2,S11,48916.0,F,294414.0,16.0,0.0,0.0,16.0,12650.0,3.0,5.0,3.0,22.0
